product_id,lowest_level
1852,Varkenshaas (vers)
815,Kattenbakvulling
503,Fris & fruitig witte wijn (per doos)
1021,Linzen (conserven)
1321,Pilsener - fles
1358,Plakken bacon (versafdeling)
1314,Peterselie kruiden
1523,Sauvignon Blanc (Frankrijk)
667,Grüner Veltliner (Oostenrijk)
347,Colombard (Zuid Afrika)
298,Chenin Blanc (Zuid Afrika)
1465,Roggebrood (ovenvers)
1122,Merlot (Frankrijk)
1524,Sauvignon Blanc (Nieuw Zeeland)
1070,Mais eieren
1866,Verdicchio
1141,Mixdranken (flessen)
1165,Muesli notenbrood
940,Komkommer salade
1263,Paneermeel (divers)
472,Farfalle
1380,Plantenverzorging
97,Aspergesoep in zak
113,Badkamerreiniger
279,Cervelaat (versafdeling)
286,Champignonsoep in zak
660,Groentesoep in blik
96,Aspergesoep in blik
181,Bloemen
2103,Zwarte peper heel
356,Corned beef (voorverpakt)
2050,Yoghurtdressing
1418,Puzzelboekjes
1103,Mayonaise (snacksauzen)
1246,Ossenstaartsoep in zak
1363,Plakken gegrild gehakt (versafdeling)
1467,Rollade - broodbeleg
644,Groenemix (conserven)
653,Groentemix (diepvries)
1236,Opbergartikelen
736,Hutspot groente
1372,Plakken spek (versafdeling)
791,Kaashapjes (oven)
1570,Sinaasappeljam
588,Gevulde scharreleitjes
322,Chorizo worst
1906,Vis  (feestdagen)
618,Gourmetvlees-vis
1861,Velderwten (diepvries)
921,Koffieroom
1533,Scheerschuim - mannen
1264,Paneermeel (naturel)
464,Extra belegen kaas (blokjes)
2047,Yoghurt/kwark met muesli
444,Dubbelvla
1111,Melk chocolade met biscuit
763,Inlegkruisjes
1900,Viervruchtenjam
2014,Witte chocolade
2082,"Zoetstof tabletten, vloeibaar"
1410,Pudding - portieverpakking
920,Koffiepads (regular)
150,Bestek staal
1005,Leesboeken
1824,Vaatwasmachine reiniger
1374,Plakken tongenworst (versafdeling)
1857,Vegetarische maaltijden
1384,Pockets
2095,Zure zult (versafdeling)
142,Beenham (versafdeling)
